Topic,Words
Aquaculture / Fisheries,"abundance, coral, fish, fisheries, giant clams, habitats, kg, mangrove, marine, panay, park, pocillopora, recruitment, reef fishes, samal island, seagrass, sites, size, species, squamosa, tawi"
Biodiversity / Conservation,"biodiversity, calauanica, conservation, cordillera, ecological, endemic, families, fauna, flora, forest, habitat, important, in situ, island, luzon island, medicinal value, new species, protected, qpl, richness, rigidus, species diversity, tablas, taxonomic, threatened, tree species"
Covid-19 Pandemic,"alcohol, baguio, beneficiaries, covid 19, distribution, fabrication, face masks, face shields, hospital, hospitals, layer, office, product, project, sanitizer, sewing machines, university, virus"
Crop Cultivation,"acceptability, agricultural, banana, climate, communities, crops, days, drying, farmers, food, fruits, growth, local, ph, plants, potential, products, rice, salt, seeds, showed, soil, treatments, varieties, water, yield"
Data Science / Computer Vision,"accuracy, algorithm, cancer, classifier, computational, dataset, delay, desa, detection, differential, encryption, equations, feature, image, machine learning, model, modified, numerical, paper, predator, prey, proposed, solutions, stability, symmetry, time"
Education,"academic, classroom, college, descriptive, education, faculty, graduates, internet, learning, level, mathematics, online, performance, respondents, school, schools, science, self, service, skills, state, student, teachers, work, year"
Gvoernance / Policy,"awareness, business, csr, economic, entrepreneurs, establishments, financial, firms, health, humor, ic, impact, industry, level awareness, lived experiences, management, migration, peace, practices, services, solid waste management, suicide, workers"
Indigenous People / Tradition & History,"betel nut, culture, designs, discourse, dutertes, elders, heritage, history, identity, igorot, indigenous, loom woven, nut, oral, paper, patterns, philippine, philosophy, regional, sport, textual, tinguian, tradition, woven"
Livestock Agriculture,"abw, azolla, blood, body, brood, cfd, commercial, diet, egg, fcr, feed, feed conversion, goats, meal, meat, music, native, p005, pigs, plmd, portulaca, quails, raisers, tilapia, treatment, weight, wslmd"
Utilities / Transportation,"application, arduino based home automation, desirability, device, electric, energy, generator, heat, home appliances, optimal, phone, power, proponents, public transport, renewable, rfid, room, software, tool, transport, transport desirability, transportation, vehicles, wind"
